,sentiment_analysis,developer,release_date
3797,2,"M2H,Blackmill Games",2015
3798,2,"M2H,Blackmill Games",2015
3799,2,"M2H,Blackmill Games",2015
3800,2,"M2H,Blackmill Games",2015
3801,1,"M2H,Blackmill Games",2015
3802,2,"M2H,Blackmill Games",2015
3803,1,"M2H,Blackmill Games",2015
3564,1,MAGES. Inc.,2015
4104,0,MEGAFUZZ,2014
4876,0,MR-Software GbR,2013
5017,2,MURA Interactive,2014
5018,1,MURA Interactive,2014
3685,2,Machine Games,2014
3686,1,Machine Games,2014
3687,1,Machine Games,2014
3688,2,Machine Games,2014
3689,0,Machine Games,2014
3690,0,Machine Games,2014
3691,2,Machine Games,2014
3692,2,Machine Games,2014
5033,1,"Maciej Targoni,Wojciech Wasiak",2015
2358,2,Mana Games,2015
4579,0,Marie Ronnaux Games,2014
5160,2,"Mario von Rickenbach,Michael Frei",2015
1358,2,"Masangsoft, Inc.",2014
1359,1,"Masangsoft, Inc.",2014
1360,1,"Masangsoft, Inc.",2014
1361,1,"Masangsoft, Inc.",2014
1362,2,"Masangsoft, Inc.",2014
4034,2,Massive Entertainment,2016
4035,2,Massive Entertainment,2016
4036,2,Massive Entertainment,2016
4037,0,Massive Entertainment,2016
4038,2,Massive Entertainment,2016
4039,0,Massive Entertainment,2016
4040,2,Massive Entertainment,2016
4232,2,Masthead Studios Ltd,2014
3551,1,Matt Roszak,2014
3552,1,Matt Roszak,2014
3013,1,Matt Thorson,2014
3565,1,Matthew Brown,2014
4327,1,Maxis™,2008
4945,2,Maxis™,2008
1651,2,"Mediatonic,Hato Moa,The Irregular Corporation",2014
5234,2,Megadev,2013
4240,2,MercurySteam - Climax Studios,2013
3668,0,Michael Todd Games,2013
3669,2,Michael Todd Games,2013
3400,2,Michael Zahniser,2015
3401,2,Michael Zahniser,2015
5066,1,Michaela Laws,2015
5191,2,"MicroProse Software, Inc",1993
4646,2,Microblast Games,2014
4452,2,Microsoft Game Studios,2006
4453,2,Microsoft Game Studios,2006
4454,1,Microsoft Game Studios,2006
4811,2,"Midgar Studio,Fusty Game",2017
5275,1,Might and Delight,2015
5111,2,Mighty Rabbit Studios,2014
4479,2,Milestone S.r.l.,2013
4483,1,Milkstone Studios,2014
4796,2,"Mine Loader Software Co., Ltd.",2013
2767,2,Minor Key Games,2012
2768,1,Minor Key Games,2012
5292,0,Mode 7,2011
5218,2,Modern Dream,2013
3710,1,MoeNovel,2013
4415,0,Mohawk Games,2016
3443,0,"Monochrome, Inc",2013
3444,1,"Monochrome, Inc",2013
3445,2,"Monochrome, Inc",2013
3904,1,Monolith Productions,1998
3819,0,"Monolith Productions, Inc.",2012
3820,2,"Monolith Productions, Inc.",2012
3821,2,"Monolith Productions, Inc.",2012
3822,1,"Monolith Productions, Inc.",2012
3823,1,"Monolith Productions, Inc.",2012
3824,1,"Monolith Productions, Inc.",2012
5301,1,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",2014
3995,2,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",2015
25,2,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
26,0,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
27,1,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
28,1,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
29,2,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
30,2,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
31,1,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
32,2,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
33,2,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
34,2,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
35,1,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
36,1,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
4619,2,Monomi Park,2017
4620,1,Monomi Park,2017
3376,2,Moon Studios GmbH,2015
3377,1,Moon Studios GmbH,2015
2134,1,Mouldy Toof Studios,2015
2135,1,Mouldy Toof Studios,2015
2136,2,Mouldy Toof Studios,2015
2137,1,Mouldy Toof Studios,2015
2138,1,Mouldy Toof Studios,2015
2139,2,Mouldy Toof Studios,2015
2140,2,Mouldy Toof Studios,2015
4517,1,Mr. Blue,2015
4298,2,Murudai,2011
3222,2,Muse Games,2012
3223,0,Muse Games,2012
3224,2,Muse Games,2012
3225,2,Muse Games,2012
3226,1,Muse Games,2012
3227,2,Muse Games,2012
4537,0,NEXON Korea Corp.,2012
4538,2,NEXON Korea Corp.,2012
4639,1,NGD Studios,2013
4640,1,NGD Studios,2013
3958,2,Nabi Studios,2006
3959,1,Nabi Studios,2006
3960,1,Nabi Studios,2006
3961,0,Nabi Studios,2006
3962,1,Nabi Studios,2006
3963,0,Nabi Studios,2006
3964,1,Nabi Studios,2006
3965,0,Nabi Studios,2006
3966,2,Nabi Studios,2006
3967,0,Nabi Studios,2006
4403,1,Nadeo,2008
3378,1,Ndemic Creations,2016
3379,1,Ndemic Creations,2016
3380,2,Ndemic Creations,2016
3381,1,Ndemic Creations,2016
3382,1,Ndemic Creations,2016
3383,0,Ndemic Creations,2016
4991,2,Necrophone Games,2014
4992,2,Necrophone Games,2014
4996,2,Neko Entertainment,2012
4877,1,NeocoreGames,2013
4913,1,"NetherRealm Studios,High Voltage Software",2013
4914,1,"NetherRealm Studios,High Voltage Software",2013
4209,1,"NetherRealm Studios,High Voltage Software",2015
4210,0,"NetherRealm Studios,High Voltage Software",2015
4211,0,"NetherRealm Studios,High Voltage Software",2015
4212,2,"NetherRealm Studios,High Voltage Software",2015
4213,2,"NetherRealm Studios,High Voltage Software",2015
3971,2,New World Interactive,2014
3972,2,New World Interactive,2014
3973,2,New World Interactive,2014
3974,1,New World Interactive,2014
3975,2,New World Interactive,2014
3976,2,New World Interactive,2014
3977,1,New World Interactive,2014
3978,1,New World Interactive,2014
3979,0,New World Interactive,2014
3980,1,New World Interactive,2014
3981,2,New World Interactive,2014
3982,1,New World Interactive,2014
3983,1,New World Interactive,2014
3984,1,New World Interactive,2014
3985,2,New World Interactive,2014
3986,0,New World Interactive,2014
3987,1,New World Interactive,2014
3988,2,New World Interactive,2014
3989,1,New World Interactive,2014
3990,2,New World Interactive,2014
3991,1,New World Interactive,2014
3992,1,New World Interactive,2014
3993,2,New World Interactive,2014
3994,1,New World Interactive,2014
4142,0,Nexon,2012
4143,1,Nexon,2012
4144,0,Nexon,2012
4145,1,Nexon,2012
4146,2,Nexon,2012
4675,2,Nexon,2012
4051,1,Nexon,2014
4052,2,Nexon,2014
4053,1,Nexon,2014
4054,2,Nexon,2014
4055,0,Nexon,2014
3510,2,"Nicalis, Inc.",2014
3511,0,"Nicalis, Inc.",2014
3512,2,"Nicalis, Inc.",2014
3513,2,"Nicalis, Inc.",2014
3514,2,"Nicalis, Inc.",2014
3515,1,"Nicalis, Inc.",2014
3516,2,"Nicalis, Inc.",2014
3517,0,"Nicalis, Inc.",2014
3518,1,"Nicalis, Inc.",2014
3519,2,"Nicalis, Inc.",2014
3520,2,"Nicalis, Inc.",2014
3521,0,"Nicalis, Inc.",2014
2113,0,"Nicalis, Inc.,Edmund McMillen",2015
2114,2,"Nicalis, Inc.,Edmund McMillen",2015
2115,1,"Nicalis, Inc.,Edmund McMillen",2015
2116,1,"Nicalis, Inc.,Edmund McMillen",2015
2117,2,"Nicalis, Inc.,Edmund McMillen",2015
3447,2,Night Node,2014
3448,2,Night Node,2014
5178,0,Nihon Falcom,2013
3021,1,Nimbly Games,2009
3022,2,Nimbly Games,2009
5238,2,Ninja Kiwi,2014
4801,1,Ninja Robot Dinosaur,2016
4965,0,Ninja Theory,2013
4966,2,Ninja Theory,2013
5248,2,Nival,2013
495,1,No Info Available,0
496,2,No Info Available,0
497,1,No Info Available,0
498,0,No Info Available,0
499,1,No Info Available,0
500,1,No Info Available,0
501,1,No Info Available,0
502,2,No Info Available,0
503,2,No Info Available,0
504,1,No Info Available,0
505,2,No Info Available,0
506,2,No Info Available,0
507,1,No Info Available,0
508,1,No Info Available,0
509,1,No Info Available,0
510,1,No Info Available,0
511,1,No Info Available,0
512,0,No Info Available,0
513,2,No Info Available,0
514,1,No Info Available,0
515,1,No Info Available,0
516,2,No Info Available,0
517,2,No Info Available,0
518,1,No Info Available,0
519,2,No Info Available,0
520,1,No Info Available,0
521,1,No Info Available,0
522,1,No Info Available,0
523,2,No Info Available,0
524,0,No Info Available,0
525,2,No Info Available,0
526,1,No Info Available,0
527,1,No Info Available,0
528,2,No Info Available,0
529,2,No Info Available,0
530,1,No Info Available,0
531,2,No Info Available,0
532,1,No Info Available,0
533,1,No Info Available,0
534,2,No Info Available,0
535,1,No Info Available,0
536,2,No Info Available,0
537,2,No Info Available,0
538,2,No Info Available,0
539,2,No Info Available,0
540,1,No Info Available,0
541,1,No Info Available,0
542,2,No Info Available,0
543,2,No Info Available,0
544,1,No Info Available,0
545,0,No Info Available,0
546,1,No Info Available,0
547,0,No Info Available,0
548,2,No Info Available,0
549,1,No Info Available,0
550,2,No Info Available,0
551,2,No Info Available,0
552,1,No Info Available,0
553,0,No Info Available,0
554,0,No Info Available,0
555,1,No Info Available,0
556,2,No Info Available,0
557,2,No Info Available,0
558,1,No Info Available,0
559,2,No Info Available,0
560,2,No Info Available,0
561,1,No Info Available,0
562,2,No Info Available,0
563,2,No Info Available,0
564,1,No Info Available,0
565,2,No Info Available,0
566,2,No Info Available,0
567,1,No Info Available,0
568,1,No Info Available,0
569,1,No Info Available,0
570,1,No Info Available,0
571,1,No Info Available,0
572,2,No Info Available,0
573,2,No Info Available,0
574,2,No Info Available,0
575,0,No Info Available,0
576,1,No Info Available,0
577,1,No Info Available,0
578,2,No Info Available,0
579,2,No Info Available,0
580,1,No Info Available,0
581,1,No Info Available,0
582,0,No Info Available,0
583,1,No Info Available,0
584,1,No Info Available,0
585,1,No Info Available,0
586,2,No Info Available,0
587,1,No Info Available,0
588,1,No Info Available,0
589,1,No Info Available,0
590,2,No Info Available,0
591,2,No Info Available,0
592,1,No Info Available,0
593,1,No Info Available,0
594,1,No Info Available,0
595,2,No Info Available,0
596,0,No Info Available,0
597,1,No Info Available,0
598,2,No Info Available,0
599,2,No Info Available,0
600,1,No Info Available,0
601,1,No Info Available,0
602,2,No Info Available,0
603,1,No Info Available,0
604,2,No Info Available,0
605,2,No Info Available,0
606,2,No Info Available,0
607,2,No Info Available,0
608,2,No Info Available,0
609,1,No Info Available,0
610,1,No Info Available,0
611,2,No Info Available,0
612,1,No Info Available,0
613,2,No Info Available,0
614,2,No Info Available,0
1032,2,No Info Available,0
1033,2,No Info Available,0
1034,1,No Info Available,0
1035,1,No Info Available,0
1036,1,No Info Available,0
1037,2,No Info Available,0
1038,1,No Info Available,0
1039,2,No Info Available,0
1040,2,No Info Available,0
1041,0,No Info Available,0
1042,2,No Info Available,0
1043,1,No Info Available,0
1044,1,No Info Available,0
1045,1,No Info Available,0
1046,1,No Info Available,0
1047,1,No Info Available,0
1048,1,No Info Available,0
1049,2,No Info Available,0
1050,2,No Info Available,0
1051,2,No Info Available,0
1052,0,No Info Available,0
1053,0,No Info Available,0
1054,1,No Info Available,0
1055,1,No Info Available,0
1056,0,No Info Available,0
1057,0,No Info Available,0
1058,2,No Info Available,0
1059,1,No Info Available,0
1060,1,No Info Available,0
1061,1,No Info Available,0
1062,1,No Info Available,0
1063,0,No Info Available,0
1064,2,No Info Available,0
1065,1,No Info Available,0
1066,2,No Info Available,0
1067,2,No Info Available,0
1068,1,No Info Available,0
1069,1,No Info Available,0
1070,2,No Info Available,0
1071,0,No Info Available,0
1072,2,No Info Available,0
1073,1,No Info Available,0
1074,1,No Info Available,0
1075,1,No Info Available,0
1076,2,No Info Available,0
1077,1,No Info Available,0
1078,1,No Info Available,0
1079,1,No Info Available,0
1080,2,No Info Available,0
1081,1,No Info Available,0
1082,2,No Info Available,0
1083,1,No Info Available,0
1084,1,No Info Available,0
1085,1,No Info Available,0
1086,1,No Info Available,0
1087,1,No Info Available,0
1088,1,No Info Available,0
1089,1,No Info Available,0
1090,1,No Info Available,0
1091,2,No Info Available,0
1092,1,No Info Available,0
1093,2,No Info Available,0
1094,1,No Info Available,0
1095,1,No Info Available,0
1096,2,No Info Available,0
1097,2,No Info Available,0
1098,1,No Info Available,0
1099,2,No Info Available,0
1100,1,No Info Available,0
1101,1,No Info Available,0
1102,1,No Info Available,0
1103,0,No Info Available,0
1104,2,No Info Available,0
1105,2,No Info Available,0
1106,1,No Info Available,0
1107,2,No Info Available,0
1108,0,No Info Available,0
1109,1,No Info Available,0
1110,0,No Info Available,0
1111,2,No Info Available,0
1112,1,No Info Available,0
1113,1,No Info Available,0
1114,1,No Info Available,0
1115,2,No Info Available,0
1116,2,No Info Available,0
1117,1,No Info Available,0
1118,0,No Info Available,0
1119,1,No Info Available,0
1120,2,No Info Available,0
1121,2,No Info Available,0
1122,2,No Info Available,0
1123,1,No Info Available,0
1124,1,No Info Available,0
1125,1,No Info Available,0
1126,0,No Info Available,0
1127,0,No Info Available,0
1128,1,No Info Available,0
1129,1,No Info Available,0
1130,1,No Info Available,0
1131,1,No Info Available,0
1132,1,No Info Available,0
1133,2,No Info Available,0
1134,1,No Info Available,0
1135,2,No Info Available,0
1136,2,No Info Available,0
1137,0,No Info Available,0
1138,1,No Info Available,0
1139,2,No Info Available,0
1140,2,No Info Available,0
1141,1,No Info Available,0
1142,1,No Info Available,0
1143,2,No Info Available,0
1144,2,No Info Available,0
1145,2,No Info Available,0
1146,1,No Info Available,0
1147,1,No Info Available,0
1148,0,No Info Available,0
1149,1,No Info Available,0
1150,1,No Info Available,0
1151,1,No Info Available,0
1152,0,No Info Available,0
1153,1,No Info Available,0
1154,2,No Info Available,0
1155,1,No Info Available,0
1156,2,No Info Available,0
1157,1,No Info Available,0
1158,1,No Info Available,0
1159,2,No Info Available,0
1160,2,No Info Available,0
1161,2,No Info Available,0
1162,2,No Info Available,0
1163,2,No Info Available,0
1164,1,No Info Available,0
1165,1,No Info Available,0
1166,2,No Info Available,0
1167,1,No Info Available,0
1168,0,No Info Available,0
1169,2,No Info Available,0
1170,1,No Info Available,0
1171,2,No Info Available,0
1172,2,No Info Available,0
1173,0,No Info Available,0
1174,2,No Info Available,0
1175,1,No Info Available,0
1176,0,No Info Available,0
1177,1,No Info Available,0
1178,1,No Info Available,0
1179,0,No Info Available,0
1180,2,No Info Available,0
1181,1,No Info Available,0
1182,2,No Info Available,0
1183,1,No Info Available,0
1730,2,No Info Available,0
1731,0,No Info Available,0
1732,1,No Info Available,0
1733,2,No Info Available,0
1734,2,No Info Available,0
1735,1,No Info Available,0
1736,1,No Info Available,0
1737,2,No Info Available,0
1738,1,No Info Available,0
1739,2,No Info Available,0
1740,1,No Info Available,0
1741,1,No Info Available,0
1742,1,No Info Available,0
1743,0,No Info Available,0
1744,1,No Info Available,0
1745,2,No Info Available,0
1746,2,No Info Available,0
1747,2,No Info Available,0
1748,0,No Info Available,0
1749,2,No Info Available,0
1750,0,No Info Available,0
1751,2,No Info Available,0
1752,2,No Info Available,0
1753,0,No Info Available,0
1754,1,No Info Available,0
3339,2,No Info Available,0
3340,2,No Info Available,0
3341,2,No Info Available,0
3342,2,No Info Available,0
3343,2,No Info Available,0
3344,2,No Info Available,0
3345,0,No Info Available,0
3346,2,No Info Available,0
3347,2,No Info Available,0
3348,0,No Info Available,0
3955,1,No Info Available,0
3956,2,No Info Available,0
4059,1,No Info Available,0
4224,2,No Info Available,0
4225,2,No Info Available,0
4226,2,No Info Available,0
4227,2,No Info Available,0
4265,2,No Info Available,0
4266,2,No Info Available,0
4267,1,No Info Available,0
4268,0,No Info Available,0
4275,2,No Info Available,0
4276,1,No Info Available,0
4277,1,No Info Available,0
4278,1,No Info Available,0
4279,2,No Info Available,0
4280,1,No Info Available,0
4462,1,No Info Available,0
4463,1,No Info Available,0
4464,2,No Info Available,0
4465,0,No Info Available,0
4557,2,No Info Available,0
4558,2,No Info Available,0
4719,0,No Info Available,0
4720,2,No Info Available,0
4807,2,No Info Available,0
4821,1,No Info Available,0
4826,0,No Info Available,0
4827,1,No Info Available,0
4928,2,No Info Available,0
5052,1,No Info Available,0
5208,1,No Info Available,0
5226,2,No Info Available,0
5249,2,No Info Available,0
4773,2,No Info Available,2013
5086,1,No Info Available,2013
5087,0,No Info Available,2013
5088,2,No Info Available,2013
5195,1,No Info Available,2013
3608,2,No Info Available,2014
3609,1,No Info Available,2014
3610,1,No Info Available,2014
3611,2,No Info Available,2014
3612,2,No Info Available,2014
3613,2,No Info Available,2014
3614,2,No Info Available,2014
4228,2,No Info Available,2014
3093,0,No Info Available,2015
3094,1,No Info Available,2015
3095,2,No Info Available,2015
3096,1,No Info Available,2015
3097,2,No Info Available,2015
3098,2,No Info Available,2015
3158,2,No Info Available,2015
3925,2,No Info Available,2015
4510,2,No Info Available,2015
4511,2,No Info Available,2015
5247,0,No Info Available,2015
5254,2,No Info Available,2015
4709,1,No Info Available,2016
1419,0,No More Room in Hell Team,2011
1420,2,No More Room in Hell Team,2011
1421,2,No More Room in Hell Team,2011
1422,2,No More Room in Hell Team,2011
1423,1,No More Room in Hell Team,2011
1424,0,No More Room in Hell Team,2011
1425,1,No More Room in Hell Team,2011
1426,0,No More Room in Hell Team,2011
1427,1,No More Room in Hell Team,2011
1428,1,No More Room in Hell Team,2011
1429,1,No More Room in Hell Team,2011
1430,2,No More Room in Hell Team,2011
1431,2,No More Room in Hell Team,2011
1432,0,No More Room in Hell Team,2011
1433,2,No More Room in Hell Team,2011
1434,1,No More Room in Hell Team,2011
1435,1,No More Room in Hell Team,2011
1436,2,No More Room in Hell Team,2011
1437,2,No More Room in Hell Team,2011
1438,2,No More Room in Hell Team,2011
1439,1,No More Room in Hell Team,2011
1440,2,No More Room in Hell Team,2011
1441,1,No More Room in Hell Team,2011
1442,0,No More Room in Hell Team,2011
1443,0,No More Room in Hell Team,2011
1444,1,No More Room in Hell Team,2011
1445,2,No More Room in Hell Team,2011
1446,1,No More Room in Hell Team,2011
1447,1,No More Room in Hell Team,2011
4869,2,Noble Empire Corp.,2014
4870,2,Noble Empire Corp.,2014
4871,2,Noble Empire Corp.,2014
5044,2,"Noio,Licorice",2015
5244,0,"Nova Dimension,Naga Entertainment",2014
5273,2,OCCA Studios,2015
4730,0,OVERDRIVE,2011
4731,1,OVERDRIVE,2011
4732,2,OVERDRIVE,2011
4733,1,OVERDRIVE,2011
4734,1,OVERDRIVE,2011
4735,1,OVERDRIVE,2011
1348,1,OVERKILL - a Starbreeze Studio.,2014
4890,1,OVERKILL - a Starbreeze Studio.,2014
5257,2,OVERKILL - a Starbreeze Studio.,2014
4329,2,OVERKILL - a Starbreeze Studio.,2015
5300,1,OVERKILL - a Starbreeze Studio.,2015
2968,2,OVERKILL - a Starbreeze Studio.,2016
2969,2,OVERKILL - a Starbreeze Studio.,2016
3449,2,OVERKILL - a Starbreeze Studio.,2016
3450,2,OVERKILL - a Starbreeze Studio.,2016
2751,1,OVERKILL Software,2011
2752,0,OVERKILL Software,2011
2753,2,OVERKILL Software,2011
2754,2,OVERKILL Software,2011
2755,1,OVERKILL Software,2011
2756,1,OVERKILL Software,2011
2757,2,OVERKILL Software,2011
2758,1,OVERKILL Software,2011
2759,1,OVERKILL Software,2011
2760,2,OVERKILL Software,2011
2761,1,OVERKILL Software,2011
2762,1,OVERKILL Software,2011
2763,0,OVERKILL Software,2011
2764,1,OVERKILL Software,2011
2765,1,OVERKILL Software,2011
2766,2,OVERKILL Software,2011
3670,1,Obsidian Entertainment,2010
3671,2,Obsidian Entertainment,2010
3672,2,Obsidian Entertainment,2010
3673,2,Obsidian Entertainment,2010
3674,1,Obsidian Entertainment,2010
3675,0,Obsidian Entertainment,2010
3676,0,Obsidian Entertainment,2010
3677,1,Obsidian Entertainment,2010
3678,1,Obsidian Entertainment,2010
3679,1,Obsidian Entertainment,2010
3680,2,Obsidian Entertainment,2010
3681,2,Obsidian Entertainment,2010
3682,2,Obsidian Entertainment,2010
3683,1,Obsidian Entertainment,2010
3684,2,Obsidian Entertainment,2010
3159,1,Obsidian Entertainment,2014
3160,2,Obsidian Entertainment,2014
3161,2,Obsidian Entertainment,2014
3162,2,Obsidian Entertainment,2014
3163,2,Obsidian Entertainment,2014
3164,1,Obsidian Entertainment,2014
3165,1,Obsidian Entertainment,2014
3166,2,Obsidian Entertainment,2014
3167,1,Obsidian Entertainment,2014
3168,1,Obsidian Entertainment,2014
3169,2,Obsidian Entertainment,2014
4471,2,Obsidian Entertainment,2015
5162,1,"Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update)",2005
5163,2,"Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update)",2005
5164,2,"Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update)",2005
2701,2,Oddworld Inhabitants,1997
2702,2,Oddworld Inhabitants,1997
2882,0,Oddworld Inhabitants,2010
2883,2,Oddworld Inhabitants,2010
4875,0,Odin Game Studio,2014
4529,2,Offworld Industries,2015
4530,2,Offworld Industries,2015
5272,2,Old B1ood,2016
5293,2,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",2013
2361,2,Oovee® Game Studios,2014
2362,2,Oovee® Game Studios,2014
2363,1,Oovee® Game Studios,2014
2364,2,Oovee® Game Studios,2014
2365,1,Oovee® Game Studios,2014
2366,2,Oovee® Game Studios,2014
2367,0,Oovee® Game Studios,2014
4764,2,Orange_Juice,2013
4765,1,Orange_Juice,2013
3317,1,Orlyapps,2015
3318,1,Orlyapps,2015
5189,2,Ostrich Banditos,2015
4819,2,Osumia Games,2015
4477,2,Outerlight Ltd.,2006
4478,1,Outerlight Ltd.,2006
2634,1,Outerlight Ltd.,2010
2635,1,Outerlight Ltd.,2010
4960,2,Overhype Studios,2017
4393,1,Owlchemy Labs,2012
4967,1,Owlchemy Labs,2015
4175,2,Oxeye Game Studio,2016
3015,1,PIXOWL INC.,2015
5106,2,PIXYUL,2016
1720,2,Pandemic Studios,2005
1721,2,Pandemic Studios,2005
1722,1,Pandemic Studios,2005
1723,2,Pandemic Studios,2005
1724,1,Pandemic Studios,2005
1725,1,Pandemic Studios,2005
1726,2,Pandemic Studios,2005
1727,2,Pandemic Studios,2005
1728,2,Pandemic Studios,2005
1729,2,Pandemic Studios,2005
4466,1,Paradox Development Studio,2012
4467,1,Paradox Development Studio,2012
4468,2,Paradox Development Studio,2012
4469,0,Paradox Development Studio,2012
4470,2,Paradox Development Studio,2012
3228,2,Paradox Development Studio,2013
3229,2,Paradox Development Studio,2013
3230,2,Paradox Development Studio,2013
3231,1,Paradox Development Studio,2013
3232,1,Paradox Development Studio,2013
3233,0,Paradox Development Studio,2013
3234,2,Paradox Development Studio,2013
3235,2,Paradox Development Studio,2013
3236,2,Paradox Development Studio,2013
5069,0,Paradox Development Studio,2015
4413,0,Paradox Development Studio,2016
4414,2,Paradox Development Studio,2016
5229,2,Paradox Development Studio,2016
5269,1,Paradox Development Studio,2016
4884,2,Parallaxian Pty Ltd,2016
5112,2,Passtech Games,2014
5029,2,Peter Moorhead,2015
3928,0,Phenomenon Games,2014
4776,1,Phosphor Games Studio,2014
4777,1,Phosphor Games Studio,2014
4778,2,Phosphor Games Studio,2014
4779,0,Phosphor Games Studio,2014
3629,2,Phr00t's Software,2014
3533,2,Pieces Interactive,2015
3534,2,Pieces Interactive,2015
3535,1,Pieces Interactive,2015
3618,1,"Pinokl Games,Kverta",2015
3825,1,"Pixel Dash Studios, EQgames",2017
3826,2,"Pixel Dash Studios, EQgames",2017
3827,2,"Pixel Dash Studios, EQgames",2017
5007,1,PixelFade Inc,2016
4883,2,PixelTail Games,2016
3914,1,Pixeljam,2014
4598,2,Pixeljam,2016
5183,1,PlatinumGames,2014
5198,1,PlayWay S.A.,2013
4493,0,Playdead,2011
4494,2,Playdead,2011
4495,1,Playdead,2011
3555,1,Playsaurus,2015
3556,1,Playsaurus,2015
3557,1,Playsaurus,2015
3558,1,Playsaurus,2015
3559,2,Playsaurus,2015
3560,0,Playsaurus,2015
3561,2,Playsaurus,2015
3562,1,Playsaurus,2015
3563,1,Playsaurus,2015
4748,2,Pocketwatch Games,2013
4749,1,Pocketwatch Games,2013
4750,1,Pocketwatch Games,2013
4058,1,Point Five Projects,2013
4710,2,"PolarityFlow,Adrian Zingg",2015
4136,1,Polytron Corporation,2013
4137,2,Polytron Corporation,2013
4138,2,Polytron Corporation,2013
4139,2,Polytron Corporation,2013
4140,2,Polytron Corporation,2013
3157,0,"PopCap Games, Inc.",2006
2998,2,"PopCap Games, Inc.",2007
2999,0,"PopCap Games, Inc.",2007
4650,1,"PopCap Games, Inc.",2009
4520,2,Poppermost Productions,2013
4521,2,Poppermost Productions,2013
4522,1,Poppermost Productions,2013
5204,1,Positech Games,2009
4455,1,Positech Games,2013
4970,2,Power of 2,2011
4856,1,Power of 2,2012
4857,2,Power of 2,2012
5131,1,Press Play,2014
4791,2,Priority Interrupt,2013
4792,2,Priority Interrupt,2013
4815,2,Prism Game Studios Ltd.,2015
4816,2,Prism Game Studios Ltd.,2015
4817,2,Prism Game Studios Ltd.,2015
4997,1,Psychic Software,2014
2381,2,"Psyonix, Inc.",2015
2382,2,"Psyonix, Inc.",2015
2383,2,"Psyonix, Inc.",2015
2384,2,"Psyonix, Inc.",2015
2385,1,"Psyonix, Inc.",2015
2386,2,"Psyonix, Inc.",2015
2387,0,"Psyonix, Inc.",2015
2388,2,"Psyonix, Inc.",2015
2389,1,"Psyonix, Inc.",2015
2390,1,"Psyonix, Inc.",2015
2391,0,"Psyonix, Inc.",2015
2392,2,"Psyonix, Inc.",2015
2393,1,"Psyonix, Inc.",2015
2394,2,"Psyonix, Inc.",2015
2395,2,"Psyonix, Inc.",2015
2396,2,"Psyonix, Inc.",2015
2397,1,"Psyonix, Inc.",2015
2398,2,"Psyonix, Inc.",2015
2399,1,"Psyonix, Inc.",2015
2400,2,"Psyonix, Inc.",2015
2401,1,"Psyonix, Inc.",2015
2402,2,"Psyonix, Inc.",2015
2403,0,"Psyonix, Inc.",2015
2404,1,"Psyonix, Inc.",2015
2405,1,"Psyonix, Inc.",2015
2406,2,"Psyonix, Inc.",2015
2407,2,"Psyonix, Inc.",2015
2408,1,"Psyonix, Inc.",2015
2409,1,"Psyonix, Inc.",2015
2410,2,"Psyonix, Inc.",2015
2411,2,"Psyonix, Inc.",2015
2412,2,"Psyonix, Inc.",2015
2413,1,"Psyonix, Inc.",2015
3446,2,"Psyonix, Inc.",2015
5207,2,Puppygames,2011
5090,2,Pyro Studios,1998
5241,2,Pyro Studios,2002
4328,1,Q-Games Ltd.,2012
4969,2,QUICKTEQUILA,2014
4594,1,Qooc Software,2012
4595,0,Qooc Software,2012
3917,1,Qwiboo Ltd,2014
5096,0,Racing Bros,2015
3589,2,"Radial Games Corp,Dejobaan Games, LLC",2013
3590,2,"Radial Games Corp,Dejobaan Games, LLC",2013
3591,2,"Radial Games Corp,Dejobaan Games, LLC",2013
4697,0,"Radial Games Corp,Loren Bednar,Dr. Kimberly Voll,Lindsay Jorgensen",2015
4698,2,"Radial Games Corp,Loren Bednar,Dr. Kimberly Voll,Lindsay Jorgensen",2015
3530,1,Radiant Entertainment,2015
3531,2,Radiant Entertainment,2015
3532,2,Radiant Entertainment,2015
4409,2,Radical Entertainment,2009
4410,1,Radical Entertainment,2009
4936,0,Radical Entertainment,2012
4319,1,Ragequit Corporation,2014
4320,1,Ragequit Corporation,2014
4321,2,Ragequit Corporation,2014
